編號,英文,中文
1,a,[冠詞] 一個;一種
2,a few,[片語] 一些
3,a little,[片語] 一點點
4,a lot,[片語] 很多
5,A.M.,[縮寫] 上午
6,able,[形容詞] 能;有能力的
7,about,[介系詞] 大約;關於
8,above,[介系詞] 在…之上
9,abroad,[副詞] 在國外
10,across,[介系詞] 橫越;穿過
11,act,"[動詞] 扮演; [名詞] 行動,法案"
12,action,[名詞] 動作
13,actor,[名詞] 男演員
14,actress,[名詞] 女演員
15,afraid,[形容詞] 害怕
16,after,[介系詞] 在…之後; [連接詞] 在...之後
17,afternoon,[名詞] 下午;午後
18,again,[副詞] 再一次
19,age,[名詞] 年齡
20,ago,[副詞] 以前
21,agree,[動詞] 同意
22,ahead,[副詞] 在前;向前;預先;事前
23,air,[名詞] 空氣
24,airplane,[名詞] 飛機
25,airport,[名詞] 飛機場
26,all,[形容詞] 所有的;全部; [代名詞] 一切
27,almost,[副詞] 幾乎
28,along,[介系詞] 沿著
29,already,[副詞] 已經
30,also,[副詞] 也
31,although,[連接詞] 雖然
32,always,[副詞] 總是
33,am,"[動詞] 是,在; be 動詞第一人稱,單數,現在式"
34,America,[名詞] 美國;美洲
35,American,[形容詞] 美國的;美洲的; [名詞] 美國人
36,an,[冠詞] 一個;一種
37,and,[連接詞] 和；及；而；就
38,angry,[形容詞] 生氣的
39,animal,[名詞] 動物
40,another,[形容詞] 另一個; [代名詞] 另一個
41,answer,[動詞] 回答; [名詞] 答案
42,ant,[名詞] 螞蟻
43,any,[形容詞] 任何的; [代名詞] 任何一個
44,anybody,[代名詞] 任何人
45,anyone,[代名詞] 任何人
46,anything,[代名詞] 任何事物
47,apartment,[名詞] 公寓
48,appear,[動詞] 出現
49,apple,[名詞] 蘋果
50,April,[名詞] 四月
51,are,"[動詞] 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式"
52,aren't,[縮短形] are not
53,arm,[名詞] 手臂
54,around,[介系詞] 差不多;環繞
55,arrive,[動詞] 到達
56,art,[名詞] 藝術
57,as,[介系詞] 以…的身份；作為; [連接詞] 依照;當...時
58,ask,[動詞] 問
59,at,[介系詞] 在
60,attack,[動詞] 進攻;襲擊; [名詞] 攻擊
61,August,[名詞] 八月
62,aunt,[名詞] 姨媽;姑媽
63,autumn,[名詞] 秋季
64,away,[形容詞] 不在的; [副詞] 離開
65,baby,[名詞] 嬰兒
66,back,[副詞] 回原處; [名詞] 背部;後面
67,bad,[形容詞] 壞的
68,badminton,[名詞] 羽毛球
69,bag,[名詞] 袋子
70,bake,[動詞] 烘;烤
71,bakery,[名詞] 麵包店
72,balcony,[名詞] 陽臺
73,ball,[名詞] 球
74,banana,[名詞] 香蕉
75,band,[名詞] 樂團;樂隊
76,bank,[名詞] 銀行;堤;岸
77,barbecue,[名詞] 烤肉
78,base,[名詞] 基;底;基部
79,baseball,[名詞] 棒球
80,basket,[名詞] 籃子
81,basketball,[名詞] 籃球
82,bat,[名詞] 球棒;蝙蝠
83,bath,[名詞] 洗澡
84,bathroom,[名詞] 廁所;浴室
85,be,"[動詞] 是;要;有;在; [助動詞] 正在...,被…"
86,beach,[名詞] 海灘
87,bean,[名詞] 豆莢;豆子
88,bear,[動詞] 承受; [名詞] 熊
89,beautiful,[形容詞] 漂亮的
90,because,[連接詞] 因為
91,become,[動詞] 變成
92,bed,[名詞] 床
93,bedroom,[名詞] 臥房
94,bee,[名詞] 蜜蜂
95,beef,[名詞] 牛肉
96,before,[介系詞] 在…之前
97,begin,[動詞] 開始
98,behind,[介系詞] 在…後面
99,believe,[動詞] 相信
100,bell,[名詞] 鈴;鐘
101,belong,[動詞] 屬於
102,below,[介系詞] 在…之下
103,belt,[名詞] 腰帶
104,bench,[名詞] 長凳;長椅
105,beside,[介系詞] 在...旁側
